"object_name";"r_start_date";"r_act_seqno";"r_object_id";"r_workflow_id";"r_runtime_state";"r_act_def_id";"workflow_name";"r_creation_date";"supervisor_name";"r_exec_time_out";"r_exec_os_error";"r_exec_launch"
"Create Contract Folder";19-6-2024 19:40:01;1;"4a001b5a801036ca";"4d001b5a80079531";5;"4c001b5a8008fb98";"Aprobare Contract 2024-06-19";19-6-2024 19:40:08;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";19-6-2024 12:09:47;1;"4a001b5a80103590";"4d001b5a80079506";5;"4c001b5a8008fb98";"Aprobare Contract 2024-06-19";19-6-2024 12:09:49;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'im_fastoperations'";0
"Create Contract Folder";18-6-2024 09:55:29;1;"4a001b5a8010355c";"4d001b5a80079504";5;"4c001b5a8008fb98";"Aprobare Contract 2024-06-18";18-6-2024 09:55:30;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";18-6-2024 01:10:56;1;"4a001b5a8010355a";"4d001b5a80079503";5;"4c001b5a8008fb98";"Aprobare Contract 2024-06-18";18-6-2024 01:10:57;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";17-6-2024 14:43:22;1;"4a001b5a8010351b";"4d001b5a80079501";5;"4c001b5a8008fb98";"Aprobare Contract 2024-06-17";17-6-2024 14:43:23;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Guarant";14-6-2024 14:33:44;9;"4a001b5a801031e4";"4d001b5a80079236";5;"4c001b5a808616c4";"APIA Automation - c3bad606-5780-4c51-bab3-66a568de4928";14-6-2024 14:38:35;"usadmin";0;"DfException:: THREAD: default task-513; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_create_garant.process>; ERRORCODE: ff; NEXT: null";0
"Create Guarant";07-6-2024 11:06:22;9;"4a001b5a8010236c";"4d001b5a80078d83";5;"4c001b5a808616c4";"APIA Automation - 5baf4b2f-6401-4921-bea3-7866958ced00";07-6-2024 11:09:53;"usadmin";0;"DfException:: THREAD: default task-13; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_create_garant.process>; ERRORCODE: ff; NEXT: null";0
"Move Guarantees";29-5-2024 17:41:17;5;"4a001b5a801015ec";"4d001b5a80078599";5;"4c001b5a808616c2";"APIA Automation - 8dfc44cc-ad67-42c2-ac24-ce90ab2a4607";29-5-2024 17:41:47;"usadmin";0;"com.documentum.bps.move.outbound.runtime.MoveException: Error occurred while moving object(s) to the destination folder:";0
"Create Guarant";29-5-2024 17:41:17;9;"4a001b5a801015f6";"4d001b5a80078598";5;"4c001b5a808616c4";"APIA Automation - 9d2d9ef2-fdf2-4e32-b93b-1ea32e16dcf0";29-5-2024 17:44:15;"usadmin";0;"DfException:: THREAD: default task-34; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_create_garant.process>; ERRORCODE: ff; NEXT: null";0
"Create Guarant";29-5-2024 17:41:16;10;"4a001b5a801019f4";"4d001b5a80078596";5;"4c001b5a808616c4";"APIA Automation - 9d2d9ef2-fdf2-4e32-b93b-1ea32e16dcf0";03-6-2024 16:51:55;"usadmin";0;"DfException:: THREAD: default task-36; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_create_garant.process>; ERRORCODE: ff; NEXT: null";0
"Create Guarant";29-5-2024 17:40:50;9;"4a001b5a801019f5";"4d001b5a80078597";5;"4c001b5a808616c4";"APIA Automation - 8dfc44cc-ad67-42c2-ac24-ce90ab2a4607";03-6-2024 16:51:56;"usadmin";0;"DfException:: THREAD: default task-5; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_create_garant.process>; ERRORCODE: ff; NEXT: null";0
"Create Guarant";16-5-2024 14:07:31;9;"4a001b5a800ff9f8";"4d001b5a80077d29";5;"4c001b5a808616c4";"APIA Automation - ea33f6ed-1060-42fe-a2e5-cc2552d77127";16-5-2024 14:12:18;"usadmin";0;"DfException:: THREAD: default task-34; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_create_garant.process>; ERRORCODE: ff; NEXT: null";0
"Create Guarant";16-5-2024 14:06:23;9;"4a001b5a800ff9f1";"4d001b5a80077d28";5;"4c001b5a808616c4";"APIA Automation - ea33f6ed-1060-42fe-a2e5-cc2552d77127";16-5-2024 14:09:55;"usadmin";0;"DfException:: THREAD: default task-34; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_create_garant.process>; ERRORCODE: ff; NEXT: null";0
"Create Contract Folder";15-5-2024 16:46:09;1;"4a001b5a800ff635";"4d001b5a80077946";5;"4c001b5a8008fb98";"Aprobare Contract 2024-05-15";15-5-2024 16:46:27;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'bt_fastops'";0
"Fast Update CC Info";08-3-2024 13:48:00;5;"4a001b5a800f675b";"4d001b5a8007197c";5;"4c001b5a8015ce13";"Pregatire CU Fast_4136260";08-3-2024 13:48:02;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'updateInfoGarantiiFast' from interface 'class com.planet.bt.modules.fast.FastOperations' from BOF module 'bt_fastops'";0
"Fast Update CC Info";08-3-2024 13:46:38;6;"4a001b5a800f6729";"4d001b5a8007197b";5;"4c001b5a8015ce13";"Pregatire CU Fast_4135797";08-3-2024 13:46:48;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'updateInfoGarantiiFast' from interface 'class com.planet.bt.modules.fast.FastOperations' from BOF module 'bt_fastops'";0
"Get Los Information";26-2-2024 13:34:23;0;"4a001b5a800f557f";"4d001b5a8007111f";5;"4c001b5a8088ef6e";"APIA Automation - 6243c5d6-d555-4a0e-8302-e4523f01a2a6";26-2-2024 13:34:24;"usadmin";0;"DfException:: THREAD: default task-22; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_get_los_info.process>; ERRORCODE: ff; NEXT: null";0
"Get Los Information";26-2-2024 13:33:17;0;"4a001b5a800f557d";"4d001b5a8007111e";5;"4c001b5a8088ef6e";"APIA Automation - 6243c5d6-d555-4a0e-8302-e4523f01a2a6";26-2-2024 13:33:43;"usadmin";0;"DfException:: THREAD: default task-23; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_get_los_info.process>; ERRORCODE: ff; NEXT: null";0
"Get Los Information";16-2-2024 10:40:16;0;"4a001b5a800f4651";"4d001b5a80070902";5;"4c001b5a8088ef6e";"APIA Automation - b0a12960-913a-480c-afcf-2eee2c6ca571";16-2-2024 10:40:16;"usadmin";0;"DfException:: THREAD: default task-21; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_get_los_info.process>; ERRORCODE: ff; NEXT: null";0
"Get Los Information";15-2-2024 08:24:50;0;"4a001b5a800f450e";"4d001b5a80070901";5;"4c001b5a8088ef6e";"APIA Automation - 34316b5e-92bd-49c9-973f-05d94eca4a1a";15-2-2024 08:24:51;"usadmin";0;"DfException:: THREAD: default task-7; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_get_los_info.process>; ERRORCODE: ff; NEXT: null";0
"Get Los Information";13-2-2024 18:01:35;0;"4a001b5a800f4100";"4d001b5a80070900";5;"4c001b5a8088ef6e";"APIA Automation - fa84c6e2-57bd-4add-83e8-c7a1583250c5";13-2-2024 18:01:36;"usadmin";0;"DfException:: THREAD: default task-22; MSG: Could not invoke child process <urn:im:com.emc.ide.artifact.process:Artifacts/Processes/apia_get_los_info.process>; ERRORCODE: ff; NEXT: null";0
